Tour,Id_phrase,phrase,lemmes,accord
1,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s2,Les inscriptions en première année :,le inscription en premier année :,A
1,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s3,Elles se sont déroulées correctement ;,eux se_expl être dérouler correctement ;,A
1,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s4,mais les personnels ont été mis à rude épreuve comme toujours .,mais le personnel avoir être mettre à rude épreuve comme toujours .,A
1,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s5,"Il y a eu des gros problèmes dans une seule discipline , le Droit .","il_expl y avoir avoir un gros problème dans un seul discipline , le droit .",A
1,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s6,"Pour 575 places restantes en juillet , il y a eu 1880 premiers voeux dans le secteur qui nous a été attribué par le Rectorat .","pour 575 place restant en juillet , il_expl y avoir avoir 1880 premier voeu dans le secteur qui nous avoir être attribuer par le rectorat .",A
1,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s7,"Nous avons accepté d' inscrire 80 étudiants supplémentaires , exceptionnellement , soit 2 groupes de TD .","nous avoir accepter de inscrire 80 étudiant supplémentaire , exceptionnellement , soit 2 groupe de TD .",A
1,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s8,Nous ne pouvons pas aller au delà par manque de salles et d' encadrement pédagogique .,nous ne pouvoir pas aller à+le delà par manque de salle et de encadrement pédagogique .,A
1,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s9,"Il semble qu' il y ait une poussée imprévue en droit , concentrée surtout sur l' ouest parisien .","il_expl sembler que il_expl y avoir un poussée imprévu en droit , concentrer surtout sur le ouest parisien .",A
1,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s10,Il faut absolument que les ex-antennes de Cergy et Saint-Quentin augmentent fortement leurs capacités d' accueil dans cette discipline en 1992 .,il_expl falloir absolument que le ex-antenne de Cergy et Saint-quentin augmenter fortement son capacité de accueil dans ce discipline en 1992 .,A
1,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s11,Les constructions :,le construction :,A
1,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s12,Le bâtiment de la Recherche :,le bâtiment de le recherche :,A
1,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s13,Le sort de ce bâtiment est actuellement entre les mains du Comité de décentralisation qui devrait donner son avis prochainement .,le sort de ce bâtiment être actuellement entre le main de+le comité de décentralisation qui devoir donner son avis prochainement .,A
1,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s14,"De plus , le CNRS , qui est maître d' ouvrage , semble maintenant exiger un regroupement plus thématique , ce qui pourrait occasionner un retard supplémentaire .","de plus , le CNRS , qui être maître de ouvrage , sembler maintenant exiger un regroupement plus thématique , ce qui pouvoir occasionner un retard supplémentaire .",A
1,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s15,Le Bâtiment D.D :,le bâtiment D.D :,A
1,frau-upn_2010040-04_CR_CA_1991-09-23_TEI.s16,Le bâtiment sera terminé vers Pâques .,le bâtiment être terminer vers Pâques .,A
