date,sexe,nombre_phrases,nombre_desaccord
1984,C,63,0
1984,F,560,7
1984,M,2409,14
1984,unknown,60,0
1985,C,117,3
1985,F,658,5
1985,M,1495,9
1985,unknown,110,0
1986,C,131,1
1986,F,406,0
1986,M,1523,19
1986,unknown,153,0
1987,C,43,0
1987,F,166,0
1987,M,1289,3
1987,unknown,76,0
1988,C,54,1
1988,F,234,0
1988,M,1464,8
1988,unknown,101,0
1989,C,58,0
1989,F,203,5
1989,M,1974,8
1989,unknown,109,0
1990,C,53,0
1990,F,179,1
1990,M,1335,3
1990,unknown,200,0
1991,C,63,1
1991,F,272,2
1991,M,1720,10
1991,unknown,149,0
1992,C,39,0
1992,F,337,1
1992,M,1565,6
1992,unknown,94,0
1993,C,49,1
1993,F,264,1
1993,M,1237,3
1993,unknown,70,0
1994,C,68,1
1994,F,297,3
1994,M,1744,7
1994,unknown,94,0
1995,C,175,1
1995,F,293,2
1995,M,1730,9
1995,unknown,208,0
1996,C,159,0
1996,F,155,1
1996,M,1045,8
1996,unknown,15,0
1997,C,136,0
1997,F,372,8
1997,M,1251,4
1997,unknown,13,0
1998,C,104,0
1998,F,306,3
1998,M,2150,20
1998,unknown,55,0
1999,C,83,2
1999,F,379,15
1999,M,1657,29
1999,unknown,31,0
2000,C,114,3
2000,F,581,8
2000,M,2622,20
2000,unknown,89,0
2001,C,71,0
2001,F,281,5
2001,M,1374,9
2001,unknown,46,0
2002,C,123,1
2002,F,236,4
2002,M,1876,25
2002,unknown,77,0
2003,C,117,0
2003,F,950,8
2003,M,2710,19
2003,unknown,60,0
2004,C,275,4
2004,F,1915,19
2004,M,4498,36
2004,unknown,105,0
2005,C,434,0
2005,F,1282,2
2005,M,2891,24
2005,unknown,111,0
2006,C,372,0
2006,F,2488,15
2006,M,2589,19
2006,unknown,79,0
2007,C,369,3
2007,F,2774,23
2007,M,3804,37
2007,unknown,26,0
2008,C,423,1
2008,F,2052,13
2008,M,3043,25
2008,unknown,62,0
2009,C,478,3
2009,F,2085,15
2009,M,3443,15
2009,unknown,40,0
2010,C,555,1
2010,F,1764,19
2010,M,2591,21
2010,unknown,15,0
2011,C,500,0
2011,F,1539,12
2011,M,2842,19
2011,unknown,17,0
2012,C,751,1
2012,F,455,2
2012,M,1690,12
2012,unknown,36,0
2013,C,628,1
2013,F,580,11
2013,M,4137,13
2013,unknown,29,0
2014,C,393,0
2014,F,449,5
2014,M,2951,8
2014,unknown,28,0
2015,C,419,1
2015,F,692,11
2015,M,4027,15
2015,unknown,37,0
2016,C,368,1
2016,F,625,4
2016,M,4493,20
2016,unknown,155,0
2017,C,274,0
2017,F,998,9
2017,M,5833,23
2017,unknown,271,0
2018,C,437,0
2018,F,1190,6
2018,M,5077,15
2018,unknown,160,0
