Tour,Id_phrase,phrase
1,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s1,Le Président ouvre la séance en donnant lecture des excuses et procurations .
1,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s2,"Il propose d' examiner les modifications des statuts , adoptés en juin dernier à la majorité des 2/3 ."
1,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s3,Le Ministère a convoqué les Présidents d' Universités pour examiner les problèmes d' ordre juridique qui se posaient dans la rédaction de ces statuts .
1,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s4,L' action du Ministère dans ce domaine est conduite par un double souci :
1,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s5,d' une part respecter l' autonomie des établissements afin de conserver leur liberté en matière de définition de leurs statuts et de leur mode de fonctionnement interne
1,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s6,"d' autre part "" la sécurite "" juridique ( statuts conformes aux textes réglementaires : décret electoral n° 85-58 du 17 / 01 / 85 )"
1,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s7,"La réunion concernant nos statuts à laquelle assistaient M. le Président SCHNEILIN et les représentants de la direction des enseignements supérieurs , en présence du Recteur de l' Académie de Versailles , des enseignements supérieur a eu lieu le 9 ocotbre 1985"
1,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s8,Modifications demandées par le Ministère de l' Education Nationale article
1,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s9,"En ce qui concerne l' article 14 , il convient de supprimer l' alinéa concernant la possibilité pour les électeurs étudiants et les listes étudiantes de présenter des suppléments ( Loi de janvier 1984 ) ."
2,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s10,"M. DARRIULAT : il faut que le Conseil de l' Université tienne le plus possible compte des remarques du Ministère , quant à la suppression de la possibilité de suppléant ."
2,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s11,"Il ne s' agissait pas d' une obligation mais d' une possibilité de façon à assurer un "" réservoire plus grand "" d' étudiants ."
2,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s12,Cette position du Ministère est complètement incohérente .
3,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s13,M. le Président fait remarquer qu' il ne nous est pas laissé de possibilité par conséquent nous devons supprimer cet alinéa .
4,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s18,M. DARRIULAT insiste pour passer l' article 15 car il considère que ce point n' ayant pas été abordé lors de la Commission des Statuts n' est pas à l' ordre du jour aujourd'hui .
5,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s19,M. LACHENAUD précise que le Conseil a une compétence supérieure à celle de la Commission des Statuts .
6,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s20,M. VIGIER est choqué par la réaction de M. DARRIULAT .
6,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s21,Il faut faire confiance au Président dans la manière de nous rendre compte de l' avis du Ministère .
7,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s22,"Pour l' article 14, le Président déclare que le Ministère pourra l' accepter dans l' état où on nous imposera une rédaction ."
8,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s24,M. IMBERTY précise qu' il fait tout ce qui est en son pouvoir pour qu' il y ait approbation des statuts en temps utile afin de commencer ces opérations électorales .
8,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s25,"Tout est prêt , mais nous ne pouvons pas démarrer la campagne électorale sans les statuts approuvés ."
8,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s26,Pour les articles de 16 à 38 ( voir nouvelle proposition dans l' annexe 1 ) .
8,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s27,Les attributions des C.A.P. et C.T.P. ne peuvent pas figurer aux statuts car ces commissions prévues sont des commissions à usage interne et les décisions du Président ne peuvent en aucun cas invoquer les avis de ces commissions .
9,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s28,"M. RODRIGUEZ souligne que cela confirme la volonté ministérielle de restreindre les compétences et la portée de la mise en place de ces commissions contrairement à la circulaire de mai 1982 qui prévoyait une extension , et contrairement à la déclaration de M. PAYAN ."
10,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s39,Mme MALDIDIER craint que certaines composantes se voient écartées de la représentativité .
11,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s40,M. le Président pense qu' il faut que les composantes des collèges s' entendent préalablement pour composer leurs listes et faire en sorte de représenter tout le monde .
11,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s41,Un arreté pourrait garantir cette représentation .
12,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s42,M. IMBERTY demande si le Conseil accepte le découpage proposé sous 2 réserves
12,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s43,"1 ) préciser aux statuts que les listes doivent garantir la représentation des disciplines ou secteurs d' activités composant ces collèges selon les modalités prévues au règlement intérieur ,"
12,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s44,"2 ) étant donné que nous n' avons pas pour l' instant de règlement intérieur , propose de prendre un arrété ( à titre transitoires redéfinissant la répartition des sièges au sein des collèges ."
13,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s45,Mme ULLMO n' est pas d' accord avec ce procédé et marque sa désaffection à l' égard du vote .
14,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s46,"Mme MALDIDIER fait remarquer qu' il s' agit de l' aboutissement d' une contradiction entre les U.F.R. , les nouvelles structures et la notion départements et disciplines ."
15,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s47,"Le Président souligne qu' il comprend les inquiétudes exprimées car il y a une contradiction fondamentale entre , d' une part , le scrutin de liste et d' autre part , la représentation des grandes disciplines ."
16,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s48,M. le Président demande au Conseil de peser le pour et le contre de la décision an qu' il va prendre .
16,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s49,"Il est souhaitable que les élections se fassent et il est normal et nécessaire au bout de 3 ans , de renouveler les représentants des Conseils ."
17,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s50,M. DARRIULAT souhaite que les élections aient lieu en temps et en heure .
18,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s51,Le Président procède au vote ( sur les articles 12 et 27 et la répartition des collèges ) .
19,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s68,"M. COHEN-STEINER : il conviendrait de rappeler qu' à l' Université de Nanterre , la catégorie B n' est pour l' instant représentée par personne ."
20,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s69,"En effet , aucun enseignant n' est habilité selon la nouvelle procédure déclare M. le Président ."
20,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s70,Voici ce que vont être les collèges électoraux pour le Conseil Scientifique :
20,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s71,Collège A :
20,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s72,Sciences Economiques et I.U.T.
20,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s73,4 sièges
20,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s74,3 + 1
20,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s75,Sciences juridiques et I.P.A.G.
20,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s76,3
20,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s77,2 + 1
20,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s78,S.S.A. et Lettres Philosophie
20,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s79,6
20,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s80,3 + 3
20,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s81,Langues
20,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s82,2
20,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s83,1 + 1
20,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s84,Psycho .
20,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s85,- Sports - B.U. - Formation Continue
20,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s86,3
20,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s87,Collège B :
20,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s88,il faut prévoir 2 sièges ( résultat du tirage au sort procédé lors du Conseil Scientifique
20,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s89,Sciences Economiques + I.U.T.
20,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s90,1 siège
20,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s91,Langues
20,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s92,1
20,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s93,20
20,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s94,Transitoirement les sièges B pourront être ajoutés aux sièges A. Car l' article 27 de la Loi prévoit explicitement que la moitié des enseignants doivent être des professeurs ou habilités â diriger des recherches .
20,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s95,Collège C :
20,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s96,Collège 1 et 2 regroupés
20,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s97,Sciences Economiques
20,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s98,+ I.U.T.
20,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s99,2
20,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s100,Sciences Juridiques
20,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s101,+ I.P.A.G.
20,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s102,1
20,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s103,3
20,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s104,S.S.A.
20,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s105,+ Lettres
20,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s106,2
20,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s107,+ 1
20,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s108,3
20,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s109,Collèges 4 et 5 regroupés
20,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s110,Langues
20,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s111,+ Psycho-S.T.A.P.S.
20,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s112,1
20,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s113,+ 1
20,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s114,2
20,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s115,Collège D :
20,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s116,( personnels non docteur )
20,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s117,Collège unique :
20,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s118,décomposé en 2 sous-collèges
20,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s119,1 siège
20,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s120,enseignant non docteur et administratif
20,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s121,"ingénieur , technicien , A.T.O.S."
20,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s122,2 sièges
21,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s123,Mesdames ULLMO et MALDIDIER ne sont pas d' accord avec le regroupement effectué .
22,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s124,M. le Président déclare que le Conseil doit se décider et procéder au vote .
22,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s125,Pour
22,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s126,10
22,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s127,Contre
22,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s128,3
22,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s129,Abstentions
22,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s130,3
22,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s131,Procuration de pour
22,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s132,11
22,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s133,Procuration de contre
22,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s134,3
22,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s135,Procuration abstention
22,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s136,1
22,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s137,Adopté
22,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s138,Les modifications vont pouvoir être transmises au Ministère
22,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s139,"Cependant les élections prévues le 3 décembre 1985 pour les enseignants , risquent d' être reculées d' une semaine environ , sous réserve de l' approbation de nos statuts ."
23,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s146,Le conseil est d' accord
24,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s152,Le conseil accepte à l' unanimité .
25,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s210,"Après discussion , cette proposition est adoptée par 21 VOIX pour et 15 contre ."
26,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s246,Adopté par 21 voix pour et 15 abstentions .
27,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s302,Adoptée à l' unanimité .
28,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s305,Adoptée à l' unanimité .
29,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s311,Adopté à l' unanimité
30,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s313,Adopté à l' unanimité .
31,fradhds-upn_2283W_CR_CA_1985-11-04_TEI.s317,La séance est levée à 18 h 25 .
1,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s1,M .
1,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s2,"Le Président IMBERTY donne lecture des excusés et des procurations , puis il propose de passer à l' ordre du jour ."
2,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s3,"M. BALSEINTE demande que la question de la sécurité sur le Campus , après 15h soit ajoutée d l' ordre du jour ."
3,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s6,"Le Président IMBERTY a longuement commenté cette décision mais elle témoigne des difficultés qu' il y a à faire fonctionner l' Université tout en voulant continuer à être un enseignant et un chercheur , puisque ces activités multiples ont conduit M. LEMETTRE à démissionner ."
3,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s7,M .
3,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s8,"Le Président a donc été amené , conformément à l' article 13 des statuts de l' Université , à consulter l' équipe et à demander à Mme BARTHELEMY Maitre Assistante en Sciences Economiques de prendre la succession de M.J.F LEMETTRE à la Vice-Présidence de la réforme et des études ."
4,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s9,"Outre les qualités personnelles de Mme BARTHELEMY , M. Le Président a fait son choix afin que les grandes composantes de ' Université restent présentes au sein de l' équipe ."
4,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s10,"Mme BARTHELEMY a déjà commencé à travailler avec M. LACHENAUD et M. Le Président demande au Conseil d' approuver , par un vote sa désignation de Vice-Présidente d' Université , Chargée de la Réforme et des Etudes ."
4,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s11,"S' agissant d' un vote de personne , le scrutin a lieu à bulletin secret ."
5,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s12,M. DARRIULAT voudrait savoir comment Mme BARTHELEMY envisage l' avenir notamment en ce qui concerne la mise en place de la réforme .
6,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s13,M.
6,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s14,"Le Président IMBERTY lui répond , que pour tout ce qui touche à l' organisation de la rentrée , un premier groupe de travail a commencé à réfléchir sur la question ."
6,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s15,"Ce groupe est constitué des directeurs d' U.E.R , des secrétaires d' U.E.R et des représentants des services centraux de l' administration ."
6,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s16,Certaines modalités pratiques ont été déterminées .
6,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s17,"Les premières inscriptions administratives commenceront le 4 juillet au matin , dès les résultats du bac , ensuite les opérations se dérouleront normalement car il n' est pas possible de modifier la procédure habituelle si rapidement ."
6,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s18,"Néanmoins , il est prévu des séances d' information qui se dérouleront en amont des inscriptions ."
6,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s19,Les enseignants accueilleront les étudiants dans les amphis ;
6,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s20,"ils leur présenteront les cursus des différentes filières et leur donneront un certain nombre de renseignements pratiques , avant qu' ils se présentent aux guichets d' inscriptions munis d' un numéro qui sera distribué lors de leur passage dans l' amphi et qui évitera les bousculades ."
6,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s21,"Pour les détails , il réunira à nouveau un groupe dès la rentrée de Paques ."
6,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s22,"En début du mois de juin il réunira la responsable de la scolarité , les responsables d' organisations étudiantes , pour voir ensemble comment permettre aux étudiants de faire leur propre information sans gêner l' accès aux guichets d' inscription et sans créer de petites confusions dommageables et regrettables ."
7,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s23,"M. DARRIULAT demande si les commissions traditionnelles de l' Université continueront à fonctionner , et si oui , pourraient -elles se tenir avant les inscriptions ?"
8,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s24,"Les commissions mises en place par M. LEMETTRE seront maintenues par Mme BARTHELEMY , affirme M. Le Président ;"
8,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s25,il est d' accord pour qu' elles aient lieu avant les inscriptions .
9,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s26,M .
9,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s27,"Le Président pense que la séance sera assez longue et il demande aux membres du conseil de faire le maximum pour rester jusqu' à la fin , ou , en cas de départ , de ne pas oublier de laisser une procuration ."
10,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s35,M.
10,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s36,Le Président IMBERTY informe le Conseil du décès du Professeur MANDROU .
10,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s37,Il a longtemps présidé le Conseil Scientifique de l' Université .
10,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s38,Il a ensuite été nommé administrateur provisoire de l' U.E.R de Sciences Juridiques au moment ou les circonstances étaient particulièrement difficiles .
10,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s39,Tous ceux qui l' ont connu savent quel homme il était et quelles dimensions intellectuelle et humaine il représentait dans l' Université .
10,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s40,C' est l' Université tout entière qui est touché par ce deuil et il est normal de lui rendre hommage .
11,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s41,"M. VIGIER déplore très sincèrement les conditions dramatiques de la disparition de M. Le Professeur MANDROU , qui a terminé très tristement une vie qui avait été très belle ."
11,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s42,"Il est de ceux qui ont donné un nouveau lustre à l' Ecole historique française et "" l' Histoire des mentalités "" est en grande partie son oeuvre ."
11,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s43,"C' était un enseignant remarquable , bien qu' ayant été longtemps dans des centres de recherche et adjoint de Brodel à l' E.H.E.S.S , il avait un réel rayonnement auprès de ses étudiants ."
11,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s44,Il a été un Vice Président de la Recherche tout à fait remarquable .
11,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s45,"C' était un homme de caractère , qui a montré ses qualités dans des circonstances difficiles , lorsqu' il a accepté de prendre en charge une U.E.R en difficulté ."
12,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s46,"M. VIGIER partage le souhait de M. Le Président , d' associer l' Université à la douleur de la famille et des amis de M. Le Professeur MANDROU ."
13,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s50,Il est élu à l' unanimité .
14,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s52,M .
14,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s53,Le Président IMBERTY annonce que M. GARNIER lui a fait part de son éventuel départ de son poste de secrétaire général de l' Université .
14,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s54,"Le poste déclaré susceptible d' être vacant , est paru au B.O. du 23 mars 1984 ."
